Modelo,Descrição,Dataset,PSNR,SSIM
SRCNN_Baseline,Original (flip + rot 90°),Set5,26.56,0.9797
SRCNN_Augmented,Augmentação robusta,Set5,26.55,0.9801
SRCNN_MultiScale,"Múltiplas escalas (2x, 3x, 4x)",Set5,26.54,0.9796
SRCNN_AugmentedMultiScale,Augment + MultiScale,Set5,26.54,0.9795
SRCNN_Baseline,Original (flip + rot 90°),Set14,24.13,0.9599
SRCNN_Augmented,Augmentação robusta,Set14,24.23,0.9606
SRCNN_MultiScale,"Múltiplas escalas (2x, 3x, 4x)",Set14,24.15,0.9599
SRCNN_AugmentedMultiScale,Augment + MultiScale,Set14,24.17,0.9599
SRCNN_Baseline,Original (flip + rot 90°),BSD100,24.70,0.9454
SRCNN_Augmented,Augmentação robusta,BSD100,24.65,0.9447
SRCNN_MultiScale,"Múltiplas escalas (2x, 3x, 4x)",BSD100,24.73,0.9454
SRCNN_AugmentedMultiScale,Augment + MultiScale,BSD100,24.71,0.9449
SRCNN_Baseline,Original (flip + rot 90°),Set5_2x,28.29,0.9870
SRCNN_Augmented,Augmentação robusta,Set5_2x,27.96,0.9860
SRCNN_MultiScale,"Múltiplas escalas (2x, 3x, 4x)",Set5_2x,28.95,0.9891
SRCNN_AugmentedMultiScale,Augment + MultiScale,Set5_2x,29.06,0.9892
SRCNN_Baseline,Original (flip + rot 90°),Set5_3x,27.59,0.9844
SRCNN_Augmented,Augmentação robusta,Set5_3x,27.45,0.9841
SRCNN_MultiScale,"Múltiplas escalas (2x, 3x, 4x)",Set5_3x,27.84,0.9854
SRCNN_AugmentedMultiScale,Augment + MultiScale,Set5_3x,27.87,0.9853
SRCNN_Baseline,Original (flip + rot 90°),Set14_2x,25.75,0.9727
SRCNN_Augmented,Augmentação robusta,Set14_2x,25.73,0.9727
SRCNN_MultiScale,"Múltiplas escalas (2x, 3x, 4x)",Set14_2x,26.39,0.9764
SRCNN_AugmentedMultiScale,Augment + MultiScale,Set14_2x,26.42,0.9764
SRCNN_Baseline,Original (flip + rot 90°),Set14_3x,25.04,0.9676
SRCNN_Augmented,Augmentação robusta,Set14_3x,25.08,0.9678
SRCNN_MultiScale,"Múltiplas escalas (2x, 3x, 4x)",Set14_3x,25.25,0.9691
SRCNN_AugmentedMultiScale,Augment + MultiScale,Set14_3x,25.27,0.9690
SRCNN_Baseline,Original (flip + rot 90°),BSD100_2x,26.20,0.9618
SRCNN_Augmented,Augmentação robusta,BSD100_2x,26.14,0.9616
SRCNN_MultiScale,"Múltiplas escalas (2x, 3x, 4x)",BSD100_2x,26.86,0.9667
SRCNN_AugmentedMultiScale,Augment + MultiScale,BSD100_2x,26.90,0.9667
SRCNN_Baseline,Original (flip + rot 90°),BSD100_3x,25.50,0.9549
SRCNN_Augmented,Augmentação robusta,BSD100_3x,25.44,0.9543
SRCNN_MultiScale,"Múltiplas escalas (2x, 3x, 4x)",BSD100_3x,25.73,0.9568
SRCNN_AugmentedMultiScale,Augment + MultiScale,BSD100_3x,25.72,0.9564
SRCNN_Baseline,Original (flip + rot 90°),Urban100_2x,22.96,0.9518
SRCNN_Augmented,Augmentação robusta,Urban100_2x,22.92,0.9515
SRCNN_MultiScale,"Múltiplas escalas (2x, 3x, 4x)",Urban100_2x,23.66,0.9584
SRCNN_AugmentedMultiScale,Augment + MultiScale,Urban100_2x,23.67,0.9584
